nombre,descuento,precio,fechaLanzamiento,usuarioCompraron,plataformas,resenia,bloqueoDeEdad,etiquetas,desarrollador,editor,genero,metacritic,herf,imagen,descipcion
Skul: The Hero Slayer,20%,19.99,20 Jan 2021,13003,windows / mac/ linux,"Very Positive / 93% of 11,708",false, Indie / Action / Action Roguelike / Roguelite / Pixel Graphics / 2D / Singleplayer / Roguelike / Platformer / Adventure / Side Scroller / Difficult / Villain Protagonist / Hack and Slash / Early Access / Action-Adventure / Fantasy / Story Rich / Metroidvania / Cute ,SouthPAW Games,NEOWIZ,Action / Indie,82,https://store.steampowered.com/app/1147560/Skul_The_Hero_Slayer/?snr=1_7_7_230_150_2,https://cdn.akamai.steamstatic.com/steam/apps/1147560/capsule_sm_120.jpg?t=1611621544," Guide 'Skul' on his quest to single-handedly take on the Imperial Army and rescue his King from captivity, in an action-packed rogue-lite 2D platformer for the ages. "
Cities: Skylines,0,29.99,10 Mar 2015,147880,windows / mac/ linux,"Very Positive / 92% of 110,096",false, City Builder / Simulation / Building / Strategy / Management / Sandbox / Singleplayer / Moddable / Economy / Resource Management / Realistic / Mod / Replay Value / Casual / Family Friendly / Real-Time with Pause / Modern / Great Soundtrack / Funny / Action ,Colossal Order Ltd.,Paradox Interactive,Simulation / Strategy,85,https://store.steampowered.com/app/255710/Cities_Skylines/?snr=1_7_7_230_150_2,https://cdn.akamai.steamstatic.com/steam/apps/255710/capsule_sm_120.jpg?t=1606821413, Cities: Skylines is a modern take on the classic city simulation. The game introduces new game play elements to realize the thrill and hardships of creating and maintaining a real city whilst expanding on some well-established tropes of the city building experience. 
Dead Cells,50%,24.99,6 Aug 2018,66914,windows / mac/ linux,"Overwhelmingly Positive / 96% of 56,694",false, Roguelite / Metroidvania / Replay Value / Souls-like / Roguelike / Roguevania / Action Roguelike / Pixel Graphics / Indie / Action / 2D / Hack and Slash / Difficult / Platformer / Atmospheric / Singleplayer / Early Access / Dark Fantasy / Funny / Procedural Generation ,Motion Twin,Motion Twin,Action / Indie,89,https://store.steampowered.com/app/588650/Dead_Cells/?snr=1_7_7_230_150_2,https://cdn.akamai.steamstatic.com/steam/apps/588650/capsule_sm_120_alt_assets_12.jpg?t=1611682054," Dead Cells is a rogue-lite, metroidvania inspired, action-platformer. You'll explore a sprawling, ever-changing castle... assuming you’re able to fight your way past its keepers in 2D souls-lite combat. No checkpoints. Kill, die, learn, repeat. "
Euro Truck Simulator 2,0,19.99,12 Oct 2012,389523,windows / mac/ linux,"Overwhelmingly Positive / 97% of 291,173",false, Simulation / Driving / Automobile Sim / Open World / Realistic / Relaxing / Singleplayer / Moddable / Exploration / First-Person / Economy / Atmospheric / Adventure / Indie / Management / Casual / TrackIR / Sandbox / Racing / RPG ,SCS Software,SCS Software,Indie / Simulation,79,https://store.steampowered.com/app/227300/Euro_Truck_Simulator_2/?snr=1_7_7_230_150_2,https://cdn.akamai.steamstatic.com/steam/apps/227300/capsule_sm_120_alt_assets_4.jpg?t=1611668462," Travel across Europe as king of the road, a trucker who delivers important cargo across impressive distances! With dozens of cities to explore, your endurance, skill and speed will all be pushed to their limits. "
RimWorld,0,34.99,17 Oct 2018,94789,windows / mac/ linux,"Overwhelmingly Positive / 98% of 77,999",false, Colony Sim / Base Building / Survival / Strategy / Management / Sandbox / Building / Simulation / City Builder / Procedural Generation / Western / Singleplayer / Sci-fi / Moddable / 2D / Indie / Tactical RPG / Cartoony / Space / Open World ,Ludeon Studios,Ludeon Studios,Indie / Simulation / Strategy,87,https://store.steampowered.com/app/294100/RimWorld/?snr=1_7_7_230_150_2,https://cdn.akamai.steamstatic.com/steam/apps/294100/capsule_sm_120.jpg?t=1594308831," A sci-fi colony sim driven by an intelligent AI storyteller. Generates stories by simulating psychology, ecology, gunplay, melee combat, climate, biomes, diplomacy, interpersonal relationships, art, medicine, trade, and more. "
Deep Rock Galactic,0,29.99,13 May 2020,72764,windows ,"Overwhelmingly Positive / 97% of 58,628",false, Co-op / Multiplayer / Class-Based / FPS / Action / Loot / PvE / Online Co-Op / First-Person / Looter Shooter / Shooter / Procedural Generation / Combat / Atmospheric / Dark / Sci-fi / Action Roguelike / Exploration / Singleplayer / Survival ,Ghost Ship Games,"",Action,85,https://store.steampowered.com/app/548430/Deep_Rock_Galactic/?snr=1_7_7_230_150_2,https://cdn.akamai.steamstatic.com/steam/apps/548430/capsule_sm_120.jpg?t=1606908542," Deep Rock Galactic is a 1-4 player co-op FPS featuring badass space Dwarves, 100% destructible environments, procedurally-generated caves, and endless hordes of alien monsters. "
Halo: The Master Chief Collection,0,39.99,3 Dec 2019,"",windows ,"Very Positive / 92% of 128,451",true,"","","","","",https://store.steampowered.com/app/976730/Halo_The_Master_Chief_Collection/?snr=1_7_7_230_150_3,https://cdn.akamai.steamstatic.com/steam/apps/976730/capsule_sm_120.jpg?t=1611767942,""
STAR WARS™: The Old Republic™,0,0,21 Jul 2020,20584,windows ,"Very Positive / 90% of 20,580",false, Free to Play / MMORPG / Multiplayer / Open World / Character Customization / RPG / Massively Multiplayer / Story Rich / Sci-fi / Choices Matter / Adventure / Action / PvP / Third Person / Space / Atmospheric / Action RPG / Party-Based RPG / CRPG / Great Soundtrack ,BioWare,Electronic Arts,Free to Play / Massively Multiplayer / RPG,85,https://store.steampowered.com/app/1286830/STAR_WARS_The_Old_Republic/?snr=1_7_7_230_150_3,https://cdn.akamai.steamstatic.com/steam/apps/1286830/capsule_sm_120.jpg?t=1603983952," STAR WARS™: The Old Republic™ is a free-to-play MMORPG that puts you at the center of your own story-driven saga. Play as a Jedi, Sith, Bounty Hunter, or one of many other iconic STAR WARS roles in the galaxy far, far away over three thousand years before the classic films. "
Factorio,0,30.00,14 Aug 2020,108986,windows / mac/ linux,"Overwhelmingly Positive / 98% of 87,025",false, Automation / Base Building / Resource Management / Sandbox / Crafting / Strategy / Multiplayer / Survival / Management / Open World / Casual / Co-op / 2D / Building / Moddable / Singleplayer / Pixel Graphics / City Builder / Simulation / Trains ,Wube Software LTD.,Wube Software LTD.,Casual / Indie / Simulation / Strategy,90,https://store.steampowered.com/app/427520/Factorio/?snr=1_7_7_230_150_3,https://cdn.akamai.steamstatic.com/steam/apps/427520/capsule_sm_120.jpg?t=1611916620," Factorio is a game about building and creating automated factories to produce items of increasing complexity, within an infinite 2D world. Use your imagination to design your factory, combine simple elements into ingenious structures, and finally protect it from the creatures who don't really like you. "
Total War: WARHAMMER II,0,59.99,28 Sep 2017,85758,windows / mac/ linux,"Very Positive / 93% of 59,333",false, Strategy / Fantasy / Turn-Based Strategy / RTS / Grand Strategy / War / Multiplayer / Games Workshop / Action / Turn-Based / Singleplayer / Dark Fantasy / Co-op / Tactical / Real Time Tactics / Story Rich / Atmospheric / Dinosaurs / Great Soundtrack / Warhammer 40K ,CREATIVE ASSEMBLY / Feral Interactive (Mac) / Feral Interactive (Linux),SEGA / Feral Interactive (Mac) / Feral Interactive (Linux),Action / Strategy,87,https://store.steampowered.com/app/594570/Total_War_WARHAMMER_II/?snr=1_7_7_230_150_3,https://cdn.akamai.steamstatic.com/steam/apps/594570/capsule_sm_120.jpg?t=1607079096," Strategy gaming perfected. A breath-taking campaign of exploration, expansion and conquest across a fantasy world. Turn-based civilisation management and real-time epic strategy battles with thousands of troops and monsters at your command. "
Planet Zoo,0,44.99,5 Nov 2019,37385,windows ,"Very Positive / 89% of 32,196",false, Simulation / Management / Building / Sandbox / Nature / City Builder / Economy / Family Friendly / Realistic / Great Soundtrack / Singleplayer / Resource Management / Cute / Strategy / Relaxing / Funny / Casual / Open World / Horses / Atmospheric ,Frontier Developments,Frontier Developments ,Casual / Simulation / Strategy,81,https://store.steampowered.com/app/703080/Planet_Zoo/?snr=1_7_7_230_150_3,https://cdn.akamai.steamstatic.com/steam/apps/703080/capsule_sm_120.jpg?t=1607429152," Build a world for wildlife in Planet Zoo. From the developers of Planet Coaster and Zoo Tycoon comes the ultimate zoo sim. Construct detailed habitats, manage your zoo, and meet authentic living animals who think, feel and explore the world you create around them. "
