Titulo,Precio,Generos,Plataformas,Fecha de Salida,Desarrollador,Publisher,Rating,Valoración del usuario,Imagen,Link
Technobabylon ,7.47,Indie|Point & Click|Adventure,Windows,"May 21, 2015",Technocrat,Wadjet Eye Games,"",0,https://cdn-products.eneba.com/resized-products/Uq6RHntxqPWHI0ACFlO8S7lPtaLGte_Qq4b86RPcrtM_350x200_1x-0.jpeg,https://www.eneba.com/us/gog-technobabylon-gog-com-key-global
Comic Jumper (Xbox 360/Xbox One) Xbox ,5.47,Action|Adventure,"","August 10, 2010","Twisted Pixel Games, LLC",Microsoft Studios,"",5.00/5,https://cdn-products.eneba.com/resized-products/qOk0cObJxfEEhPjdh6y2ER22wAl-8VYTF1rtnWK0PCQ_350x200_1x-0.jpeg,https://www.eneba.com/us/xbox-comic-jumper-xbox-360-xbox-one-xbox-live-key-global
DEADBOLT ,4.11,Action|Indie,Windows|Mac|Linux,"March 14, 2016",Hopoo Games,Hopoo Games,Rates 16+,0,https://cdn-products.eneba.com/resized-products/HugyFz0ivnf7ahpXRsdtamg6pBCijX1LjWmK-TGZC54_350x200_1x-0.jpeg,https://www.eneba.com/us/steam-deadbolt-steam-key-global
Ghostrunner ,18.48,Action|FPS / TPS|Adventure,Windows,"October 27, 2020","One More Level, 3D Realms, Slipgate Ironworks™",505 Games,Rates 16+,0,https://cdn-products.eneba.com/resized-products/todNTeu4WWGoqREuS8m8qil9F4FCnrm6cev6NsNRXt4_350x200_1x-0.jpg,https://www.eneba.com/us/steam-ghostrunner-steam-key-latam-1
King's Bounty: Ultimate Edition ,47.94,Strategy|RPG,Windows|Mac,"September 17, 2010",Katauri Interactive,1C Entertainment,Rates 12+,5.00/5,https://cdn-products.eneba.com/resized-products/cZs_GGtRevRpSVWmBhuKgqwZ6psHOHQi3cnEDps59IA_350x200_1x-0.jpeg,https://www.eneba.com/us/steam-kings-bounty-ultimate-edition-steam-key-global
Worms Armageddon ,20.54,Action|Strategy|Platform,Windows,"May 31, 2013",Team 17 Software,Team17 Digital Ltd,Rates 7+,4.55/5,https://cdn-products.eneba.com/resized-products/uvtu-EVbYKBF777QCLj_rTu_hOwe5NSaMtvvqLBPJu0_350x200_1x-0.jpeg,https://www.eneba.com/us/steam-worms-armageddon-steam-key-global
Worms Revolution (Gold Edition) ,31.5,Action|Strategy,Windows,"October 10, 2012",Team 17 Software,Team17 Digital Ltd,Rates 12+,4.50/5,https://cdn-products.eneba.com/resized-products/2KtvUqV_350x200_1x-0.jpg,https://www.eneba.com/us/steam-worms-revolution-gold-edition-steam-key-global
The Watchmaker ,20.54,Action|Indie|Adventure,Windows,"May 17, 2018",Microprose,1C Entertainment,"",5.00/5,https://cdn-products.eneba.com/resized-products/y8z1pnrph7abea0ebah4_350x200_1x-0.jpg,https://www.eneba.com/us/steam-the-watchmaker-steam-key-global
Worms Reloaded (GOTY) ,31.5,Action|Strategy|Platform,Windows|Mac|Linux,"August 26, 2013",Team 17 Software,Team17 Digital Ltd,Rates 7+,5.00/5,https://cdn-products.eneba.com/resized-products/packshot-1bc148b077825d04cacd58b6b6677ada_350x200_1x-0.jpg,https://www.eneba.com/us/steam-worms-reloaded-goty-steam-key-global
Company of Crime ,41.09,Strategy|RPG,"","August 8, 2020",Resistance Games,1C Entertainment,"",0,https://cdn-products.eneba.com/resized-products/4bbwR5gqPzSCx6VpfhokuCO62VAo_DRl0QAyb4kt2vI_350x200_1x-0.jpeg,https://www.eneba.com/us/steam-company-of-crime-steam-key-global
Big Pharma ,18.45,Simulation|Indie|Strategy,Windows|Mac|Linux,"August 27, 2015",Twice Circled,Positech Games,"",5.00/5,https://cdn-products.eneba.com/resized-products/72730fed14ae786ba1fda38d74c6a145_350x200_1x-0.jpg,https://www.eneba.com/us/steam-big-pharma-steam-key-global-1
GNOG ,2.74,Indie|Adventure,Windows|Mac,"July 17, 2018",KO_OP,Double Fine Presents,Rates 3+,0,https://cdn-products.eneba.com/resized-products/wRVdoogHyN9YCk_8bwc7PiQIYB_MomiTqmOCHAmHTZY_350x200_1x-0.jpeg,https://www.eneba.com/us/steam-gnog
Battle Academy 2: Eastern Front ,4.25,Strategy,Windows|Mac,"September 13, 2014",Slitherine Ltd.,Slitherine Ltd.,"",5.00/5,https://cdn-products.eneba.com/resized-products/oJE_gNz91an8Fbttb_nSEqNrcJ9rJgis0DD2PUIz920_350x200_1x-0.jpeg,https://www.eneba.com/us/steam-battle-academy-2-eastern-front-steam-key-global
Surgeon Simulator AE + I Am Bread ,6.84,Action|Simulation|Indie,Windows|Mac|Linux,"April 20, 2013",Bossa Studios,Bossa Studios,"",0,https://cdn-products.eneba.com/resized-products/sqsAJaAyPOz_2FpaMvTejSMkqtA-2Jk083L0VSZI_Xk_350x200_1x-0.jpeg,https://www.eneba.com/us/steam-surgeon-simulator-ae-i-am-bread-steam-key-global
Seven: Enhanced Edition ,7.55,Action|Indie|Adventure|RPG,Windows,"December 1, 2017",IMGN.PRO/ Fool's Theory,IMGN.PRO,"",0,https://cdn-products.eneba.com/resized-products/jNMTQlJ7SfL3qz9475P66EeNl4ubsrO5aX9co8Y_dh4_350x200_1x-0.jpeg,https://www.eneba.com/us/steam-seven-enhanced-edition-steam-key-global
Vertiginous Golf ,1.37,Sport|Indie,Windows|Mac|Linux,"March 7, 2014",Kinesoft,Surprise Attack Games,"",0,https://cdn-products.eneba.com/resized-products/Pt57YW8_350x200_1x-0.jpg,https://www.eneba.com/us/steam-vertiginous-golf-steam-key-global
Port Royale 4 - Extended Edition ,39.47,Simulation|Strategy,"","August 20, 2020",Gaming Minds Studios,Kalypso Media,Rates 12+,0,https://cdn-products.eneba.com/resized-products/hc76yrEGLPn37pjfXItzH-N7WOHzsCmVyExn8dDRrec_350x200_1x-0.jpeg,https://www.eneba.com/us/steam-port-royale-4-extended-edition-steam-key-global
The Settlers 7 (History Edition) ,13.69,Strategy|Adventure,Windows,"January 22, 2019",Ubisoft Blue Byte,Ubisoft,Rates 12+,4.67/5,https://cdn-products.eneba.com/resized-products/FZsDg7Tt6jGiaxbuadxZghALGr0bvsQrQVj8D795jKs_350x200_1x-0.jpeg,https://www.eneba.com/us/steam-the-settlers-7-history-edition-steam-key-global
Kingdom Under Fire 2 - Basic Edition ,12.17,Action|MMO|Strategy|RPG,Windows,"November 18, 2019",Blueside,Gameforge 4D GmbH,"",5.00/5,https://cdn-products.eneba.com/resized-products/Zre5Iul-ZLxjZSboKlN2H7dfIdn3qmk0J7Oq_agJbs8_350x200_1x-0.jpeg,https://www.eneba.com/us/steam-kingdom-under-fire-2-basic-edition-steam-key-global
Worms Reloaded ,27.39,Action|Strategy|Platform,Windows|Mac|Linux,"August 26, 2013",Team 17 Software,Team17 Digital Ltd,Rates 7+,4.60/5,https://cdn-products.eneba.com/resized-products/90ppWcidfjB7YMTre1SQHs0MSVu5rDu2uMw-m40NnKk_350x200_1x-0.jpeg,https://www.eneba.com/us/steam-worms-reloaded-steam-key-global
Men of War: Assault Squad 2 - Cold War ,30.13,Action|Simulation|Strategy,Windows,"September 12, 2019",Digitalmindsoft,1C Entertainment,"",0,https://cdn-products.eneba.com/resized-products/dHJ7BQqSaBwAqcWCIBj5QnneH1blPnNa7-pRET6hE2I_350x200_1x-0.jpeg,https://www.eneba.com/us/steam-men-of-war-assault-squad-2-cold-war-steam-key-global
Konung 3: Ties of the Dynasty ,4.1,Adventure|RPG,Windows,"June 17, 2010",1C Entertainment,1C Entertainment,"",5.00/5,https://cdn-products.eneba.com/resized-products/AqOn5ZnANP8RhM1JzJsWUd9m0iJzGF-6BJsrVgy16JI_350x200_1x-0.jpeg,https://www.eneba.com/us/steam-konung-3-ties-of-the-dynasty-steam-key-global
The Sims 3 (Starter Pack) ,31.93,Simulation,Windows,"May 16, 2013",EA Maxis,Electronic Arts Inc.,Rates 12+,0,https://cdn-products.eneba.com/resized-products/R1hqEfs_350x200_1x-0.jpg,https://www.eneba.com/us/origin-the-sims-3-starter-pack-origin-key-global
Home Design 3D ,9.56,Simulation,Windows|Mac,"January 30, 2015",Anuman Interactive,Anuman Interactive,"",0,https://cdn-products.eneba.com/resized-products/gzJHQEwtuzMgs5Qp-aOqRpTJKqV6eKbDXIziRcQDck0_350x200_1x-0.jpeg,https://www.eneba.com/us/steam-home-design-3d-steam-key-global
Hyperdrive Massacre ,0.66,Action|Indie,Windows|Mac|Linux,"October 12, 2015",34BigThings,34BigThings srl,"",0,https://cdn-products.eneba.com/resized-products/l9GLcOzxi-JR_pvQhm7LqRuZHz4DSjyqLZlmqwTyNOQ_350x200_1x-0.jpeg,https://www.eneba.com/us/steam-hyperdrive-massacre-steam-key-global
Tell Me Why: Chapters 1-3 (PC/Xbox One) Xbox ,28.07,Adventure,Windows,"August 27, 2020",DONTNOD Entertainment,Xbox Game Studios,Rates 18+ (Mature),5.00/5,https://cdn-products.eneba.com/resized-products/ysdIbb_YMAz3oFE2Uo25VivyT6XoXfCyeGlOjhZ4Gwk_350x200_1x-0.png,https://www.eneba.com/us/xbox-tell-me-why-chapters-1-3-pc-xbox-one-xbox-live-key-global
Star Control: Origins ,5.34,Action|Adventure|RPG,Windows,"September 20, 2018",Stardock Entertainment,Stardock Entertainment,"",0,https://cdn-products.eneba.com/resized-products/rmzcpsfvnizymkhvd0qg_350x200_1x-0.jpg,https://www.eneba.com/us/steam-star-control-origins-steam-key-global
Lords of the Realm ,1.44,Strategy,Windows,"November 30, 2000",Impressions Games,Rebellion,"",5.00/5,https://cdn-products.eneba.com/resized-products/WE5RdmXP1zzQeV7gGLZZbCRvKt_RrOr7gKkENFKdixo_350x200_1x-0.jpeg,https://www.eneba.com/us/steam-lords-of-the-realm-steam-key-global
